Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6413340adae8f6d21ba1882d,60ca64ec4ea478fcb4d87165,AWAITING REVIEW,2023-03-16T15:21:46.964000Z,2023-03-16T15:39:45.597000Z,,2023-03-16T15:39:46.477503Z,1079,CVCWHIQC,238,38,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6413340c052810f92a561d5b,60d62be71011d9a64042a465,AWAITING REVIEW,2023-03-16T15:21:48.867000Z,2023-03-16T15:34:07.409000Z,,2023-03-16T15:34:07.754748Z,739,CVCWHIQC,79,29,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6413342542ae548fbe4f8697,5f6ab630339f67193e8b487f,AWAITING REVIEW,2023-03-16T15:22:18.879000Z,2023-03-16T15:30:29.734000Z,,2023-03-16T15:30:30.084105Z,491,CVCWHIQC,176,36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133435db856ad5b8a3d897,61393c5349b812515afde134,AWAITING REVIEW,2023-03-16T15:22:29.746000Z,2023-03-16T15:32:10.760000Z,,2023-03-16T15:32:11.169882Z,582,CVCWHIQC,33,20,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6413343e70f797984455261d,5e08d5b38390791d3fc17420,AWAITING REVIEW,2023-03-16T15:22:56.458000Z,2023-03-16T15:31:06.356000Z,,2023-03-16T15:31:06.775943Z,490,CVCWHIQC,92,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6413345131e7b9efaa8d8db2,609ab872a125c21478ecc6cc,AWAITING REVIEW,2023-03-16T15:23:59.276000Z,2023-03-16T15:41:34.767000Z,,2023-03-16T15:41:35.262634Z,1056,CVCWHIQC,97,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
64133453021eb6ed95d77aaf,5c5c2d590edbd90001e1e01d,AWAITING REVIEW,2023-03-16T15:23:03.749000Z,2023-03-16T15:35:18.496000Z,,2023-03-16T15:35:19.036722Z,735,CVCWHIQC,70,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
64133453c0e46303f0356f84,6155d5e191a8a0b9fc7f1371,AWAITING REVIEW,2023-03-16T15:22:59.873000Z,2023-03-16T15:41:15.391000Z,,2023-03-16T15:41:15.785985Z,1096,CVCWHIQC,99,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6413345882ba8bd5f70f83bf,6015812ae6b0ba65c927ef31,AWAITING REVIEW,2023-03-16T15:23:04.040000Z,2023-03-16T15:32:49.926000Z,,2023-03-16T15:32:50.296781Z,586,CVCWHIQC,48,29,Male,Black,Portugal,Portugal,Angola,Portuguese,DATA_EXPIRED,DATA_EXPIRED
64133465ef0a586a6608ff36,6148abf10b6d54ca37128406,AWAITING REVIEW,2023-03-16T15:24:36.247000Z,2023-03-16T15:36:10.579000Z,,2023-03-16T15:36:10.974869Z,695,CVCWHIQC,90,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
